"id","filename","link","response code","response text","title","content-type","screen shot","archived","internet archive response code","internet archive response text","wayback earliest date","internet archive earliest","wayback latest date","internet archive latest","internet archive save link","protocol error","protocol error","analysis version number","analysis version text","stats creation time"
"b5900860da52ebfc4550bcdcf2bd618b","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.mobiles4all.com","0","error: client request failed: no such host","","","snapshots are not currently enabled","true","302","Found","23 September 2002","http://web.archive.org/web/20020923033546/http://mobiles4all.com:80/","17 May 2014","http://web.archive.org/web/20140517185601/http://mobiles4all.com/","http://web.archive.org/save/http://www.mobiles4all.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.516380535s"
"4b26a6fedeca5e6a2b11f30c7173aab9","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.hearfrom.com","200","OK","email marketing | supporting your marketing efforts","text/html","snapshots are not currently enabled","true","302","Found","03 October 2005","http://web.archive.org/web/20051003205639/http://www.hearfrom.com:80/","02 July 2017","http://web.archive.org/web/20170702184853/http://www.hearfrom.com/","http://web.archive.org/save/http://www.hearfrom.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","479.161189ms"
"9727358f66dee4469afe1bb4fbd95e63","The Million Dollar Homepage - Own a piece of internet history!.html","http://focusline.com","206","Partial Content","paid surveys - rewarded surveys","text/html","snapshots are not currently enabled","true","302","Found","02 December 1998","http://web.archive.org/web/19981202134353/http://www2.focusline.com:80/","19 May 2017","http://web.archive.org/web/20170519192248/http://focusline.com/","http://web.archive.org/save/http://focusline.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.119974701s"
"9d20dba35003815f059121995b848e5b","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.datapacket.net","206","Partial Content","web hosting, reseller plans &amp; vps servers - data packet networks","text/html","snapshots are not currently enabled","true","302","Found","17 April 2001","http://web.archive.org/web/20010417175704/http://www.datapacket.net:80/","02 July 2017","http://web.archive.org/web/20170702120559/http://www.datapacket.net/","http://web.archive.org/save/http://www.datapacket.net","","","0.0.6","exponentialDK-httpreserve/0.0.6","312.518415ms"
"3019bf2b93af4eb5e549d825a205bf3f","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.c-success-b-success.com/?refid=milldol-567890283","200","OK","","text/html; charset=utf-8","snapshots are not currently enabled","true","302","Found","11 May 2011","http://web.archive.org/web/20110511135712/http://www.c-success-b-success.com/?refid=milldol-567890283","05 July 2017","http://web.archive.org/web/20170705052456/http://www.c-success-b-success.com/?refid=milldol-567890283","http://web.archive.org/save/http://www.c-success-b-success.com/?refid=milldol-567890283","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.867528765s"
"e52ab05e714c3243000738f864eb6415","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.anygig.com","200","OK","anygig.com domain name is for sale. inquire now.","text/html","snapshots are not currently enabled","true","302","Found","15 February 2005","http://web.archive.org/web/20050215080137/http://www.anygig.com:80/","02 July 2017","http://web.archive.org/web/20170702154015/http://www.anygig.com/","http://web.archive.org/save/http://www.anygig.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","2.01829322s"
"f027b2ae5b7758dbd70ba720536f97b2","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.millionsofgames.com","0","error: client request failed: no such host","","","snapshots are not currently enabled","true","302","Found","24 September 2005","http://web.archive.org/web/20050924092907/http://www.millionsofgames.com:80/","07 September 2015","http://web.archive.org/web/20150907080545/http://www.millionsofgames.com/","http://web.archive.org/save/http://www.millionsofgames.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.822297178s"
"3dd9c307e198bce5bf208ee22c73a38a","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.antiwarblog.info","200","OK","antiwar blog","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","06 August 2005","http://web.archive.org/web/20050806013318/http://www.antiwarblog.info:80/","03 July 2017","http://web.archive.org/web/20170703055559/http://www.antiwarblog.info/","http://web.archive.org/save/http://www.antiwarblog.info","","","0.0.6","exponentialDK-httpreserve/0.0.6","210.338006ms"
"15734025d520120dc9ed294d49250870","The Million Dollar Homepage - Own a piece of internet history!.html","http://www.techgage.com","526","","www.techgage.com | 526: invalid ssl certificate","text/html; charset=UTF-8","snapshots are not currently enabled","true","302","Found","17 November 2004","http://web.archive.org/web/20041117011049/http://techgage.com:80/","04 July 2017","http://web.archive.org/web/20170704045326/http://www.techgage.com/","http://web.archive.org/save/http://www.techgage.com","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.787531522s"
"11fb0f65e01b2f17c7f8cd12b849948d","The Million Dollar Homepage - Own a piece of internet history!.html","http://dailynewspaper.co.uk","0","client request failed: client.Do failed: Get http://dailynewspaper.co.uk: dial tcp 127.0.0.1:80: getsockopt: connection refused","","","snapshots are not currently enabled","true","302","Found","20 June 2000","http://web.archive.org/web/20000620203311/http://dailynewspaper.co.uk:80/","28 November 2016","http://web.archive.org/web/20161128010155/http://www.dailynewspaper.co.uk:80/","http://web.archive.org/save/http://dailynewspaper.co.uk","","","0.0.6","exponentialDK-httpreserve/0.0.6","1.251921503s"
